Job #,Borough,Street Name,GIS_NTA_NAME
321940959,BROOKLYN,KENT AVENUE,North Side-South Side
140841542,MANHATTAN,EAST 65TH ST.,Upper East Side-Carnegie Hill
302586324,BROOKLYN,WOODBINE ST.,Bushwick South
440544323,QUEENS,OCEAN AVE,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
421742662,QUEENS,MEMPHIS AVENUE,Rosedale
421859965,QUEENS,BEACH 92 STREET,Hammels-Arverne-Edgemere
321955390,BROOKLYN,HERKIMER STREET,Crown Heights North
210179359,BRONX,LONGWOOD AVENUE,Hunts Point
321992019,BROOKLYN,QUINCY STREET,Stuyvesant Heights
421739523,QUEENS,233 STREET,Oakland Gardens
421933153,QUEENS,78 STREET,Elmhurst
220701970,BRONX,EAST 223 STREET,Eastchester-Edenwald-Baychester
220703932,BRONX,WALDO AVENUE,North Riverdale-Fieldston-Riverdale
321776734,BROOKLYN,CONEY ISLAND AVENUE,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
321069197,BROOKLYN,LENOX ROAD,Prospect Lefferts Gardens-Wingate
140849072,MANHATTAN,AVENUE A,East Village
302586832,BROOKLYN,NOSTRAND AVENUE,Midwood
340678939,BROOKLYN,BALTIC STREET,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
121205356,MANHATTAN,EAST 83 STREET,Yorkville
302586832,BROOKLYN,NOSTRAND AVENUE,Midwood
123780499,MANHATTAN,WEST 21 STREET,Hudson Yards-Chelsea-Flatiron-Union Square
240254880,BRONX,DR KAZIMIROFF BOULEVARD,park-cemetery-etc-Bronx
500875920,STATEN ISLAND,WILLOWBROOK ROAD,New Springville-Bloomfield-Travis
123717086,MANHATTAN,WEST 48 ST,Clinton
123723854,MANHATTAN,WEST 94TH STREET,Upper West Side
123687581,MANHATTAN,LIBERTY STREET,Battery Park City-Lower Manhattan
123687581,MANHATTAN,LIBERTY STREET,Battery Park City-Lower Manhattan
123897328,MANHATTAN,FIFTH AVENUE,Midtown-Midtown South
123894278,MANHATTAN,PARK AVENUE SOUTH,Gramercy
123897328,MANHATTAN,FIFTH AVENUE,Midtown-Midtown South
123897328,MANHATTAN,FIFTH AVENUE,Midtown-Midtown South
123765498,MANHATTAN,WEST END AVENUE,Upper West Side
220707091,BRONX,BASSFORD AVENUE,Claremont-Bathgate
440550164,QUEENS,COLLINS PLACE,Flushing
123897328,MANHATTAN,FIFTH AVENUE,Midtown-Midtown South
240256824,BRONX,TINTON AVENUE,Mott Haven-Port Morris
220708045,BRONX,CASTLE HILL AVENUE,Parkchester
121205356,MANHATTAN,EAST 83 STREET,Yorkville
123812384,MANHATTAN,WEST 52ND STREET,Clinton
123767003,MANHATTAN,COLUMBUS AVENUE,Upper West Side
421393842,QUEENS,37 AVENUE,Hunters Point-Sunnyside-West Maspeth
121205604,MANHATTAN,PARK AVENUE,Midtown-Midtown South
123749015,MANHATTAN,EAST 37 STREET,Murray Hill-Kips Bay
421728973,QUEENS,ROCKAWAY BEACH BLVD,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
220653344,BRONX,MATTHEWS  AVENUE,Bronxdale
421732334,QUEENS,147 STREET,Kew Gardens Hills
201202670,BRONX,ADEE AV,Allerton-Pelham Gardens
123774718,MANHATTAN,WEST 102 STREET,Upper West Side
421728973,QUEENS,ROCKAWAY BEACH BLVD,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
321970042,BROOKLYN,NOSTRAND AVE,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
220651890,BRONX,WEST 230 STREET,Spuyten Duyvil-Kingsbridge
421263714,QUEENS,17TH AVENUE,Whitestone
421263714,QUEENS,17TH AVENUE,Whitestone
321954186,BROOKLYN,COURT STREET,Carroll Gardens-Columbia Street-Red Hook
123369960,MANHATTAN,COLUMBUS AVENUE,Upper West Side
421735171,QUEENS,9TH AVENUE,College Point
321594155,BROOKLYN,BOERUM STREET,East Williamsburg
220651881,BRONX,WEST 230 STREET,Spuyten Duyvil-Kingsbridge
321594155,BROOKLYN,BOERUM STREET,East Williamsburg
321961098,BROOKLYN,APPLEGATE CT,Bensonhurst East
123879954,MANHATTAN,FIRST AVE,Yorkville
123780097,MANHATTAN,8TH AVENUE,Hudson Yards-Chelsea-Flatiron-Union Square
440558843,QUEENS,SEAGIRT BLVD,Far Rockaway-Bayswater
220712067,BRONX,EAST 156TH STREET,Melrose South-Mott Haven North
123712465,MANHATTAN,WEST 25TH STREET,Hudson Yards-Chelsea-Flatiron-Union Square
240259885,BRONX,PONTIAC PLACE,Melrose South-Mott Haven North
321594734,BROOKLYN,ST JOHNS PLACE,Crown Heights North
421735803,QUEENS,COWLES COURT,Middle Village
220689039,BRONX,KINGSLAND AVENUE,Eastchester-Edenwald-Baychester
322010346,BROOKLYN,82 STREET,Bensonhurst West
340693672,BROOKLYN,BOERUM STREET,East Williamsburg
140865776,MANHATTAN,LENOX AVENUE,Central Harlem South
123773158,MANHATTAN,2ND DRIVE,park-cemetery-etc-Manhattan
340693645,BROOKLYN,HURON STREET,Greenpoint
421727901,QUEENS,48 AVENUE,Corona
321925725,BROOKLYN,LEFFERTS PL,Clinton Hill
123802199,MANHATTAN,EAST 9TH STREET,East Village
123814854,MANHATTAN,EAST 38TH STREET,Murray Hill-Kips Bay
123818459,MANHATTAN,NINTH AVENUE,Hudson Yards-Chelsea-Flatiron-Union Square
421914129,QUEENS,SUTPHIN BOULEVARD,Jamaica
340696027,BROOKLYN,GREENPOINT AVENUE,Greenpoint
220712888,BRONX,LYVERE ST,Westchester-Unionport
321925725,BROOKLYN,LEFFERTS PL,Clinton Hill
321594155,BROOKLYN,BOERUM STREET,East Williamsburg
321985198,BROOKLYN,57 STREET,Sunset Park East
421796266,QUEENS,41ST AVE,Bayside-Bayside Hills
421914156,QUEENS,MYRTLE AVENUE,Ridgewood
440567012,QUEENS,87 AVENUE,Kew Gardens
440568477,QUEENS,131 STREET,South Ozone Park
340698203,BROOKLYN,METROPOLITAN AVENUE,East Williamsburg
520282426,STATEN ISLAND,ELLSWORTH AVE,Rossville-Woodrow
321963023,BROOKLYN,3 AVE,Bay Ridge
220716170,BRONX,CROTONA AVENUE,East Tremont
520378528,STATEN ISLAND,TODT HILL ROAD,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
220689538,BRONX,CARLISLE PLACE,Williamsbridge-Olinville
123705918,MANHATTAN,EAST 51 STREET,Turtle Bay-East Midtown
321987436,BROOKLYN,74TH STREET,Bay Ridge
421911159,QUEENS,26 AVE,Bayside-Bayside Hills
123487459,MANHATTAN,10 AVENUE,Clinton
123787134,MANHATTAN,LEXINGTON AVENUE,Turtle Bay-East Midtown
140871885,MANHATTAN,WEST 35 STREET,Midtown-Midtown South
220717366,BRONX,BRONX BLVD,Woodlawn-Wakefield
421909796,QUEENS,KEW FOREST LANE,Forest Hills
140873669,MANHATTAN,CENTRAL PARK WEST,Upper West Side
321984126,BROOKLYN,AVE. U,Madison
421745776,QUEENS,105TH AVENUE,Jamaica
421746999,QUEENS,105TH AVENUE,Jamaica
220718249,BRONX,WILLIAMSBRIDGE ROAD,Van Nest-Morris Park-Westchester Square
322002122,BROOKLYN,EAST 14 STREET,Homecrest
421903408,QUEENS,ANNADALE LANE,Douglas Manor-Douglaston-Little Neck
140874098,MANHATTAN,EAST 81 STREET,Upper East Side-Carnegie Hill
123787376,MANHATTAN,CENTRAL PARK WEST,Upper West Side
123844705,MANHATTAN,EAST 88TH STREET,Yorkville
123822756,MANHATTAN,GROVE STREET,West Village
123789356,MANHATTAN,WEST 57TH STREET,Midtown-Midtown South
140876407,MANHATTAN,W 15 ST,Hudson Yards-Chelsea-Flatiron-Union Square
440575842,QUEENS,SANFORD AVENUE,Flushing
520395126,STATEN ISLAND,FATHER CAPODANNO BOULEVARD,Old Town-Dongan Hills-South Beach
321595813,BROOKLYN,PENNSYLVANIA AVE,East New York (Pennsylvania Ave)
421909028,QUEENS,220 PLACE,Bayside-Bayside Hills
