Job #,Borough,House #,Street Name,GIS_NTA_NAME
421592468,QUEENS,61-17,MENAHAN STREET,Ridgewood
123228578,MANHATTAN,645,5TH AVENUE,Midtown-Midtown South
340561163,BROOKLYN,540,SCHENCK AVE,East New York
321726469,BROOKLYN,475,GRAND STREET,North Side-South Side
421563515,QUEENS,328,BEACH 87 STREET,Hammels-Arverne-Edgemere
340576861,BROOKLYN,701,LAFAYETTE AVENUE,Bedford
321780649,BROOKLYN,701,PUTNAM AVENUE,Stuyvesant Heights
140741151,MANHATTAN,530,WEST 123 STREET,Morningside Heights
201202180,BRONX,455,SOUTHERN BLVD,Mott Haven-Port Morris
140752326,MANHATTAN,460,WEST 44TH STREET,Clinton
340595485,BROOKLYN,207,MAC DONOUGH STREET,Stuyvesant Heights
140753637,MANHATTAN,161,6TH AVENUE,SoHo-TriBeCa-Civic Center-Little Italy
420663641,QUEENS,104-19,ROOSEVELT AVENUE,North Corona
123426444,MANHATTAN,15,EAST 26 STREET,Hudson Yards-Chelsea-Flatiron-Union Square
321646698,BROOKLYN,1250,NEW YORK AVENUE,East Flatbush-Farragut
302582667,BROOKLYN,213,OSBORN STREET,Brownsville
321750609,BROOKLYN,121,NORTH 1 STREET,North Side-South Side
321718432,BROOKLYN,1777,59 STREET,Borough Park
321753759,BROOKLYN,6318,11 AVENUE,Dyker Heights
421104860,QUEENS,167-01,GOTHIC DRIVE,Briarwood-Jamaica Hills
123216910,MANHATTAN,541,E 68 STREET,Lenox Hill-Roosevelt Island
421456258,QUEENS,14-40,31 AVE.,Astoria
220651694,BRONX,3187,GRAND CONCOURSE,Bedford Park-Fordham North
321767343,BROOKLYN,815,66 ST,Sunset Park East
123553332,MANHATTAN,100,HAVEN AVENUE,Washington Heights South
123576576,MANHATTAN,30,PARK AVENUE,Murray Hill-Kips Bay
340606810,BROOKLYN,412,DEGRAW STREET,Carroll Gardens-Columbia Street-Red Hook
321774200,BROOKLYN,2357,WEST STREET,Homecrest
123499945,MANHATTAN,425,PARK AVENUE,Turtle Bay-East Midtown
123485674,MANHATTAN,205,WEST 58TH STREET,Midtown-Midtown South
123485674,MANHATTAN,205,WEST 58TH STREET,Midtown-Midtown South
520339964,STATEN ISLAND,608,JEWETT AVENUE,Westerleigh
421105681,QUEENS,1-35,57TH AVENUE,Hunters Point-Sunnyside-West Maspeth
520304493,STATEN ISLAND,10,LEASON PLACE,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
123419292,MANHATTAN,500,WEST 33RD STREET,Hudson Yards-Chelsea-Flatiron-Union Square
123419292,MANHATTAN,500,WEST 33RD STREET,Hudson Yards-Chelsea-Flatiron-Union Square
421168701,QUEENS,715,VIRGINIA STREET,Far Rockaway-Bayswater
123364723,MANHATTAN,89,PITT STREET,Lower East Side
123445691,MANHATTAN,422,EAST 72 STREET,Lenox Hill-Roosevelt Island
123561369,MANHATTAN,300,WEST 30 STREET,Hudson Yards-Chelsea-Flatiron-Union Square
123381544,MANHATTAN,3489,BROADWAY,Hamilton Heights
321821025,BROOKLYN,2370,PACIFIC STREET,Ocean Hill
123383873,MANHATTAN,275,CANAL ST,SoHo-TriBeCa-Civic Center-Little Italy
121188829,MANHATTAN,124,WEST 131 STREET,Central Harlem North-Polo Grounds
123401121,MANHATTAN,560,WEST 33RD STREET,Hudson Yards-Chelsea-Flatiron-Union Square
123401121,MANHATTAN,560,WEST 33RD STREET,Hudson Yards-Chelsea-Flatiron-Union Square
123126143,MANHATTAN,44,WEST 77TH STREET,Upper West Side
123561369,MANHATTAN,300,WEST 30 STREET,Hudson Yards-Chelsea-Flatiron-Union Square
220664831,BRONX,268,WEST 261ST STREET,North Riverdale-Fieldston-Riverdale
321384159,BROOKLYN,445,GRAND AVE,Clinton Hill
123518345,MANHATTAN,521,WEST 57 STREET,Clinton
240240565,BRONX,39,PENNYFIELD CAMP,Schuylerville-Throgs Neck-Edgewater Park
220673616,BRONX,844,ST. ANN'S AVENUE,Melrose South-Mott Haven North
220634357,BRONX,2001,ARTHUR AVENUE,East Tremont
520356203,STATEN ISLAND,9,BARTLETT AVE,Great Kills
321845562,BROOKLYN,2318,NOSTRAND AVENUE,Midwood
321072441,BROOKLYN,2721,E 21 ST,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
421636723,QUEENS,159-15,RIVERSIDE DRIVE,Whitestone
321370725,BROOKLYN,1174,44 STREET,Borough Park
420664711,QUEENS,59-15,CATALPA AVENUE,Ridgewood
123507963,MANHATTAN,200,EAST 61 STREET,Lenox Hill-Roosevelt Island
220678194,BRONX,1519,LELAND AVE,West Farms-Bronx River
123401121,MANHATTAN,560,WEST 33RD STREET,Hudson Yards-Chelsea-Flatiron-Union Square
421925787,QUEENS,117-03,ROCKAWAY BEACH BLVD,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
421925787,QUEENS,117-03,ROCKAWAY BEACH BLVD,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
340648179,BROOKLYN,724,LAFAYETTE AVE,Bedford
123591327,MANHATTAN,10,WEST 66TH STREET,Lincoln Square
123589508,MANHATTAN,645,5TH AVENUE,Midtown-Midtown South
421927240,QUEENS,88-12,192 STREET,Hollis
520368236,STATEN ISLAND,3465,VICTORY BLVD,New Springville-Bloomfield-Travis
321073137,BROOKLYN,8218,AVENUE J,Canarsie
421697809,QUEENS,268-05,76 AVE,Glen Oaks-Floral Park-New Hyde Park
322058474,BROOKLYN,701,PUTNAM AVENUE,Stuyvesant Heights
421689444,QUEENS,610,OAK DRIVE,Far Rockaway-Bayswater
421719475,QUEENS,7-17 GAR,150TH STREET,Whitestone
421721079,QUEENS,102-42,1ST STREET,Lindenwood-Howard Beach
340655534,BROOKLYN,244,5TH AVENUE,Park Slope-Gowanus
421720873,QUEENS,269-01,76 AVENUE,Glen Oaks-Floral Park-New Hyde Park
321919992,BROOKLYN,646,77TH STREET,Bay Ridge
321919992,BROOKLYN,646,77TH STREET,Bay Ridge
123511182,MANHATTAN,270,PARK AVENUE,Midtown-Midtown South
340661242,BROOKLYN,784,ARGYLE ROAD,Flatbush
321385773,BROOKLYN,814,LAFAYETTE AVENUE,Stuyvesant Heights
123680908,MANHATTAN,137,RIVERSIDE DRIVE,Upper West Side
421724398,QUEENS,70-35,110 STREET,Forest Hills
123683576,MANHATTAN,750,THIRD AVENUE,Turtle Bay-East Midtown
123850788,MANHATTAN,60,SUTTON PLACE SOUTH,Turtle Bay-East Midtown
421897497,QUEENS,106-13,NORTHERN BLVD,East Elmhurst
123827911,MANHATTAN,201,WEST 83RD STREET,Upper West Side
123480740,MANHATTAN,29,DOWNING STREET,West Village
340662964,BROOKLYN,959,MADISON STREET,Bushwick South
220689495,BRONX,761,SHERIDAN AVE,East Concourse-Concourse Village
123707408,MANHATTAN,1558,3RD AVENUE,Upper East Side-Carnegie Hill
520374167,STATEN ISLAND,75,PUTNAM STREET,Great Kills
440540443,QUEENS,32-76,31ST STREET,Astoria
123716835,MANHATTAN,144,EAST 61ST STREET,Upper East Side-Carnegie Hill
123716835,MANHATTAN,144,EAST 61ST STREET,Upper East Side-Carnegie Hill
140839813,MANHATTAN,510,EAST 117TH STREET,East Harlem North
123863195,MANHATTAN,148,WEST 24TH STREET,Hudson Yards-Chelsea-Flatiron-Union Square
321935304,BROOKLYN,80,JEWEL STREET,Greenpoint
123418444,MANHATTAN,531,MAIN STREET,Lenox Hill-Roosevelt Island
321940959,BROOKLYN,266,KENT AVENUE,North Side-South Side
140841542,MANHATTAN,181,EAST 65TH ST.,Upper East Side-Carnegie Hill
302586324,BROOKLYN,200,WOODBINE ST.,Bushwick South
440544323,QUEENS,45,OCEAN AVE,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
421742662,QUEENS,253-07,MEMPHIS AVENUE,Rosedale
421859965,QUEENS,142,BEACH 92 STREET,Hammels-Arverne-Edgemere
321955390,BROOKLYN,853,HERKIMER STREET,Crown Heights North
210179359,BRONX,1127,LONGWOOD AVENUE,Hunts Point
321992019,BROOKLYN,827,QUINCY STREET,Stuyvesant Heights
421739523,QUEENS,64-38,233 STREET,Oakland Gardens
421933153,QUEENS,41-50,78 STREET,Elmhurst
220701970,BRONX,1334,EAST 223 STREET,Eastchester-Edenwald-Baychester
220703932,BRONX,4440,WALDO AVENUE,North Riverdale-Fieldston-Riverdale
321776734,BROOKLYN,2971,CONEY ISLAND AVENUE,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
321069197,BROOKLYN,150,LENOX ROAD,Prospect Lefferts Gardens-Wingate
140849072,MANHATTAN,24,AVENUE A,East Village
302586832,BROOKLYN,2500,NOSTRAND AVENUE,Midwood
340678939,BROOKLYN,346,BALTIC STREET,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
121205356,MANHATTAN,200,EAST 83 STREET,Yorkville
302586832,BROOKLYN,2500,NOSTRAND AVENUE,Midwood
123780499,MANHATTAN,233,WEST 21 STREET,Hudson Yards-Chelsea-Flatiron-Union Square
240254880,BRONX,2700,DR KAZIMIROFF BOULEVARD,park-cemetery-etc-Bronx
500875920,STATEN ISLAND,1064,WILLOWBROOK ROAD,New Springville-Bloomfield-Travis
123717086,MANHATTAN,346,WEST 48 ST,Clinton
123723854,MANHATTAN,34,WEST 94TH STREET,Upper West Side
123687581,MANHATTAN,200,LIBERTY STREET,Battery Park City-Lower Manhattan
123687581,MANHATTAN,200,LIBERTY STREET,Battery Park City-Lower Manhattan
123897328,MANHATTAN,350,FIFTH AVENUE,Midtown-Midtown South
123894278,MANHATTAN,373,PARK AVENUE SOUTH,Gramercy
123897328,MANHATTAN,350,FIFTH AVENUE,Midtown-Midtown South
123897328,MANHATTAN,350,FIFTH AVENUE,Midtown-Midtown South
123765498,MANHATTAN,610,WEST END AVENUE,Upper West Side
220707091,BRONX,2306,BASSFORD AVENUE,Claremont-Bathgate
440550164,QUEENS,34-12,COLLINS PLACE,Flushing
123897328,MANHATTAN,350,FIFTH AVENUE,Midtown-Midtown South
240256824,BRONX,532,TINTON AVENUE,Mott Haven-Port Morris
220708045,BRONX,1725,CASTLE HILL AVENUE,Parkchester
121205356,MANHATTAN,200,EAST 83 STREET,Yorkville
123812384,MANHATTAN,456,WEST 52ND STREET,Clinton
123767003,MANHATTAN,476,COLUMBUS AVENUE,Upper West Side
421393842,QUEENS,45-03,37 AVENUE,Hunters Point-Sunnyside-West Maspeth
121205604,MANHATTAN,270,PARK AVENUE,Midtown-Midtown South
123749015,MANHATTAN,201,EAST 37 STREET,Murray Hill-Kips Bay
421728973,QUEENS,101-19,ROCKAWAY BEACH BLVD,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
220653344,BRONX,2770,MATTHEWS  AVENUE,Bronxdale
421732334,QUEENS,68-32,147 STREET,Kew Gardens Hills
201202670,BRONX,900,ADEE AV,Allerton-Pelham Gardens
123774718,MANHATTAN,235,WEST 102 STREET,Upper West Side
421728973,QUEENS,101-19,ROCKAWAY BEACH BLVD,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
321970042,BROOKLYN,3838,NOSTRAND AVE,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
220651890,BRONX,632,WEST 230 STREET,Spuyten Duyvil-Kingsbridge
421263714,QUEENS,145-24,17TH AVENUE,Whitestone
421263714,QUEENS,145-24,17TH AVENUE,Whitestone
321954186,BROOKLYN,404,COURT STREET,Carroll Gardens-Columbia Street-Red Hook
123369960,MANHATTAN,476,COLUMBUS AVENUE,Upper West Side
421735171,QUEENS,122-15,9TH AVENUE,College Point
321594155,BROOKLYN,24,BOERUM STREET,East Williamsburg
220651881,BRONX,636,WEST 230 STREET,Spuyten Duyvil-Kingsbridge
321594155,BROOKLYN,24,BOERUM STREET,East Williamsburg
321961098,BROOKLYN,411,APPLEGATE CT,Bensonhurst East
123879954,MANHATTAN,1592,FIRST AVE,Yorkville
123780097,MANHATTAN,535,8TH AVENUE,Hudson Yards-Chelsea-Flatiron-Union Square
440558843,QUEENS,20-39,SEAGIRT BLVD,Far Rockaway-Bayswater
220712067,BRONX,520,EAST 156TH STREET,Melrose South-Mott Haven North
123712465,MANHATTAN,28,WEST 25TH STREET,Hudson Yards-Chelsea-Flatiron-Union Square
240259885,BRONX,603,PONTIAC PLACE,Melrose South-Mott Haven North
321594734,BROOKLYN,1520,ST JOHNS PLACE,Crown Heights North
421735803,QUEENS,81-07,COWLES COURT,Middle Village
220689039,BRONX,2842,KINGSLAND AVENUE,Eastchester-Edenwald-Baychester
322010346,BROOKLYN,2281,82 STREET,Bensonhurst West
340693672,BROOKLYN,24,BOERUM STREET,East Williamsburg
140865776,MANHATTAN,95,LENOX AVENUE,Central Harlem South
123773158,MANHATTAN,107,2ND DRIVE,park-cemetery-etc-Manhattan
340693645,BROOKLYN,53,HURON STREET,Greenpoint
421727901,QUEENS,104-13,48 AVENUE,Corona
321925725,BROOKLYN,21,LEFFERTS PL,Clinton Hill
123802199,MANHATTAN,115,EAST 9TH STREET,East Village
123814854,MANHATTAN,137,EAST 38TH STREET,Murray Hill-Kips Bay
123818459,MANHATTAN,75,NINTH AVENUE,Hudson Yards-Chelsea-Flatiron-Union Square
421914129,QUEENS,90-75,SUTPHIN BOULEVARD,Jamaica
340696027,BROOKLYN,70,GREENPOINT AVENUE,Greenpoint
220712888,BRONX,2422,LYVERE ST,Westchester-Unionport
321925725,BROOKLYN,21,LEFFERTS PL,Clinton Hill
321594155,BROOKLYN,24,BOERUM STREET,East Williamsburg
321985198,BROOKLYN,562,57 STREET,Sunset Park East
421796266,QUEENS,211-05,41ST AVE,Bayside-Bayside Hills
421914156,QUEENS,55-03,MYRTLE AVENUE,Ridgewood
440567012,QUEENS,135-05,87 AVENUE,Kew Gardens
440568477,QUEENS,105-18,131 STREET,South Ozone Park
340698203,BROOKLYN,650,METROPOLITAN AVENUE,East Williamsburg
520282426,STATEN ISLAND,445,ELLSWORTH AVE,Rossville-Woodrow
321963023,BROOKLYN,9956,3 AVE,Bay Ridge
